timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1529323200,Jun 18 2018 - 12:00pm,complete,42300,Sweden,South Korea,Joel Antonio Aguilar Chicas,1,0.00,0.00,1.80,1.00,1,0,1,0,0,0,"65","",6,5,1,0,2,0,0,1,1,1,9,2,4,0,5,2,20,23,55,45,0.00,0.00,1.34,0.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.05,3.75,1.59,2.80,5.75,11.00,2.25,1.57,Stadion Nizhny Novgorod
1529334000,Jun 18 2018 - 3:00pm,complete,43257,Belgium,Panama,Janny Sikazwe,1,0.00,0.00,2.57,0.00,3,0,3,0,0,0,"47,69,75","",9,3,3,0,5,0,1,2,2,3,13,6,6,2,7,4,17,18,61,39,0.00,0.00,1.70,0.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.20,6.80,20.25,1.20,1.65,2.60,34.00,2.45,1.48,Olimpiyskiy Stadion Fisht (Sochi)
1529344800,Jun 18 2018 - 6:00pm,complete,41064,Tunisia,England,Wilmar Alexander Roldán Pérez,1,0.00,0.00,1.00,1.43,1,2,3,2,1,1,"35","11,90'1",2,7,0,0,1,0,0,0,1,0,4,16,1,8,3,8,14,8,39,61,0.00,0.00,0.48,2.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.75,4.35,1.48,1.36,2.10,3.90,8.00,2.35,1.51,Volgograd Arena
1529409600,Jun 19 2018 - 12:00pm,complete,40842,Colombia,Japan,Damir Skomina,1,0.00,0.00,1.75,1.00,1,2,3,2,1,1,"39","6,73",3,6,2,1,1,0,1,2,0,1,4,11,3,6,1,5,15,9,38,62,0.00,0.00,0.72,1.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.87,3.35,5.25,1.47,2.40,4.70,9.00,2.20,1.59,Mordovia Arena
1529420400,Jun 19 2018 - 3:00pm,complete,44190,Poland,Senegal,Nawaf Abdulla Ghayyath Shukralla,1,0.00,0.00,1.00,1.33,1,2,3,1,0,1,"86","37,60",3,3,1,0,2,0,1,0,0,2,10,6,4,2,6,4,8,15,61,39,0.00,0.00,1.26,0.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.10,3.50,1.50,2.50,5.00,21.00,2.10,1.65,Otkrytiye Arena
1529431200,Jun 19 2018 - 6:00pm,complete,64468,Russia,Egypt,Enrique Cáceres,2,3.00,0.00,1.60,0.00,3,1,4,0,0,0,"47,59,62","73",7,4,1,0,1,0,0,1,0,1,9,9,3,1,6,8,11,10,49,51,1.81,0.88,1.21,1.00,3.00,0,50,50,50,50,50,50,50,100,6.00,3.00,2.05,3.20,4.10,1.49,2.50,4.90,9.00,2.10,1.65,Saint-Petersburg Stadium
1529496000,Jun 20 2018 - 12:00pm,complete,78011,Portugal,Morocco,Mark Geiger,2,1.00,0.00,1.25,0.33,1,0,1,1,1,0,"4","",5,7,1,0,1,0,0,1,1,0,6,13,2,4,4,9,19,23,45,55,0.91,1.15,0.72,1.70,3.50,50,50,50,50,50,50,50,50,100,9.00,2.00,1.67,3.80,6.50,1.36,2.10,3.85,7.00,2.05,1.67,Stadion Luzhniki (Moskva)
1529506800,Jun 20 2018 - 3:00pm,complete,42678,Uruguay,Saudi Arabia,Clément Turpin,2,3.00,0.00,2.40,1.00,1,0,1,1,1,0,"23","",3,4,0,0,0,0,0,0,0,0,9,6,3,2,6,4,10,13,47,53,1.47,0.54,1.08,0.78,3.00,0,50,50,50,50,50,50,50,100,7.00,1.00,1.23,6.20,18.50,1.22,1.71,2.80,9.50,2.35,1.51,Rostov Arena
1529517600,Jun 20 2018 - 6:00pm,complete,42718,Iran,Spain,Andrés Cunha,2,3.00,1.00,1.33,1.50,0,1,1,0,0,0,"","54",2,6,2,0,0,0,0,2,0,0,7,10,0,5,7,5,14,14,22,78,0.80,1.53,0.63,1.77,3.50,50,50,50,50,50,50,50,50,100,7.00,4.00,15.50,5.95,1.25,1.27,1.83,3.15,5.50,2.45,1.48,Kazan' Arena
1529582400,Jun 21 2018 - 12:00pm,complete,40727,Denmark,Australia,Antonio Miguel Mateu Lahoz,2,3.00,0.00,1.50,0.33,1,1,2,2,1,1,"7","38",3,5,2,0,0,0,1,1,0,0,10,8,5,4,5,4,7,5,47,53,1.11,0.50,1.29,1.21,2.00,50,50,50,0,0,0,0,50,100,8.00,5.00,2.05,3.30,4.20,1.48,2.45,4.80,10.00,2.15,1.62,Samara Arena
